Name,Club,Country,Role,PLY Height,PLY Weight,PLY DoB,PLY Foot,PLY Birth Area,TME Area Name,Current Time,Age,Leagues
Gianluigi Donnarumma ,Milan,Italy,Goalkeeper,196,90,1999-02-25 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,22,Italy Leagues
Alex Meret ,Napoli,Italy,Goalkeeper,190,77,1997-03-22 00:00:00.000000,left,Italy,Italy,2021-06-11 14:12:58.835670,24,Italy Leagues
Salvatore Sirigu ,Torino,Italy,Goalkeeper,192,85,1987-01-12 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,34,Italy Leagues
Francesco Acerbi ,Lazio,Italy,Defender,192,88,1988-02-10 00:00:00.000000,left,Italy,Italy,2021-06-11 14:12:58.835670,33,Italy Leagues
Alessandro Bastoni ,Inter,Italy,Defender,190,75,1999-04-13 00:00:00.000000,left,Italy,Italy,2021-06-11 14:12:58.835670,22,Italy Leagues
Leonardo Bonucci ,Juventus,Italy,Defender,190,82,1987-05-01 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,34,Italy Leagues
Giorgio Chiellini ,Juventus,Italy,Defender,187,86,1984-08-14 00:00:00.000000,left,Italy,Italy,2021-06-11 14:12:58.835670,37,Italy Leagues
Giovanni Di Lorenzo ,Napoli,Italy,Defender,182,80,1993-08-04 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,28,Italy Leagues
Emerson ,Chelsea,Italy,Defender,176,79,1994-08-03 00:00:00.000000,left,Brazil,England,2021-06-11 14:12:58.835670,27,England Leagues
Alessandro Florenzi ,PSG,Italy,Defender,173,67,1991-03-11 00:00:00.000000,right,Italy,France,2021-06-11 14:12:58.835670,30,France Leagues
Leonardo Spinazzola ,Roma,Italy,Defender,186,75,1993-03-25 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,28,Italy Leagues
Rafael Tolói ,Atalanta,Italy,Defender,185,75,1990-10-10 00:00:00.000000,right,Brazil,Italy,2021-06-11 14:12:58.835670,31,Italy Leagues
Nicolò Barella ,Inter,Italy,Midfielder,172,68,1997-02-07 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,24,Italy Leagues
Federico Bernardeschi ,Juventus,Italy,Midfielder,185,77,1994-02-16 00:00:00.000000,left,Italy,Italy,2021-06-11 14:12:58.835670,27,Italy Leagues
Federico Chiesa ,Juventus,Italy,Midfielder,175,70,1997-10-25 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,24,Italy Leagues
Bryan Cristante ,Roma,Italy,Midfielder,186,80,1995-03-03 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,26,Italy Leagues
Jorginho ,Chelsea,Italy,Midfielder,180,68,1991-12-20 00:00:00.000000,right,Brazil,England,2021-06-11 14:12:58.835670,29,England Leagues
Manuel Locatelli ,Sassuolo,Italy,Midfielder,185,75,1998-01-08 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,23,Italy Leagues
Lorenzo Pellegrini ,Roma,Italy,Midfielder,186,77,1996-06-19 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,25,Italy Leagues
Stefano Sensi ,Inter,Italy,Midfielder,168,62,1995-08-05 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,26,Italy Leagues
Marco Verratti ,PSG,Italy,Midfielder,165,60,1992-11-05 00:00:00.000000,right,Italy,France,2021-06-11 14:12:58.835670,29,France Leagues
Andrea Belotti ,Torino,Italy,Forward,181,84,1993-12-20 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,27,Italy Leagues
Domenico Berardi ,Sassuolo,Italy,Forward,183,72,1994-08-01 00:00:00.000000,left,Italy,Italy,2021-06-11 14:12:58.835670,27,Italy Leagues
Ciro Immobile ,Lazio,Italy,Forward,185,85,1990-02-20 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,31,Italy Leagues
Lorenzo Insigne ,Napoli,Italy,Forward,163,59,1991-06-04 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,30,Italy Leagues
Giacomo Raspadori ,Sassuolo,Italy,Forward,172,69,2000-02-18 00:00:00.000000,right,Italy,Italy,2021-06-11 14:12:58.835670,21,Italy Leagues
Altay Bayındır ,Fenerbahçe,Turkey,Goalkeeper,198,89,1998-04-14 00:00:00.000000,right,Turkey,Turkey,2021-06-11 14:12:58.835670,23,Turkey Leagues
Mert Günok ,İstanbul Başakşehir,Turkey,Goalkeeper,196,92,1989-03-01 00:00:00.000000,right,Turkey,Turkey,2021-06-11 14:12:58.835670,32,Turkey Leagues
Uğurcan Çakır ,Trabzonspor,Turkey,Goalkeeper,188,78,1996-04-05 00:00:00.000000,right,Turkey,Turkey,2021-06-11 14:12:58.835670,25,Turkey Leagues
Zeki Çelik ,LOSC Lille,Turkey,Defender,180,78,1997-02-17 00:00:00.000000,right,Turkey,France,2021-06-11 14:12:58.835670,24,France Leagues
Çağlar Söyüncü ,Leicester,Turkey,Defender,185,82,1996-05-23 00:00:00.000000,right,Turkey,England,2021-06-11 14:12:58.835670,25,England Leagues
Kaan Ayhan ,Sassuolo,Turkey,Defender,184,84,1994-11-10 00:00:00.000000,right,Turkey,Italy,2021-06-11 14:12:58.835670,27,Italy Leagues
Merih Demiral ,Juventus,Turkey,Defender,192,86,1998-03-05 00:00:00.000000,left,Turkey,Italy,2021-06-11 14:12:58.835670,23,Italy Leagues
Mert Müldür ,Sassuolo,Turkey,Defender,188,74,1999-04-03 00:00:00.000000,right,Turkey,Italy,2021-06-11 14:12:58.835670,22,Italy Leagues
Ozan Kabak ,Liverpool,Turkey,Defender,186,86,2000-03-25 00:00:00.000000,right,Turkey,England,2021-06-11 14:12:58.835670,21,England Leagues
Rıdvan Yılmaz ,Beşiktaş,Turkey,Defender,174,60,2001-05-21 00:00:00.000000,left,Turkey,Turkey,2021-06-11 14:12:58.835670,20,Turkey Leagues
Umut Meraş ,Le Havre,Turkey,Defender,175,70,1995-12-20 00:00:00.000000,left,Turkey,France,2021-06-11 14:12:58.835670,25,France Leagues
Yusuf Yazıcı ,LOSC Lille,Turkey,Midfielder,178,74,1997-01-29 00:00:00.000000,left,Turkey,France,2021-06-11 14:12:58.835670,24,France Leagues
Dorukhan Toköz ,Beşiktaş,Turkey,Midfielder,180,72,1996-05-21 00:00:00.000000,right,Turkey,Turkey,2021-06-11 14:12:58.835670,25,Turkey Leagues
İrfan Can Kahveci ,Fenerbahçe,Turkey,Midfielder,176,71,1995-07-15 00:00:00.000000,left,Turkey,Turkey,2021-06-11 14:12:58.835670,26,Turkey Leagues
Okay Yokuşlu ,West Brom,Turkey,Midfielder,191,79,1994-03-09 00:00:00.000000,right,Turkey,England,2021-06-11 14:12:58.835670,27,England Leagues
Orkun Kökçü ,Feyenoord,Turkey,Midfielder,175,67,2000-12-29 00:00:00.000000,right,Turkey,Netherlands,2021-06-11 14:12:58.835670,20,Netherlands Leagues
Ozan Tufan ,Fenerbahçe,Turkey,Midfielder,179,80,1995-03-23 00:00:00.000000,right,Turkey,Turkey,2021-06-11 14:12:58.835670,26,Turkey Leagues
Taylan Antalyalı ,Galatasaray,Turkey,Midfielder,180,71,1995-01-08 00:00:00.000000,left,Turkey,Turkey,2021-06-11 14:12:58.835670,26,Turkey Leagues
Hakan Çalhanoğlu ,AC Milan,Turkey,Midfielder,178,76,1994-02-08 00:00:00.000000,right,Turkey,Italy,2021-06-11 14:12:58.835670,27,Italy Leagues
Burak Yılmaz ,LOSC Lille,Turkey,Forward,188,80,1985-07-15 00:00:00.000000,right,Turkey,France,2021-06-11 14:12:58.835670,36,France Leagues
Cengiz Ünder ,Leicester,Turkey,Forward,173,66,1997-07-14 00:00:00.000000,left,Turkey,England,2021-06-11 14:12:58.835670,24,England Leagues
Enes Ünal ,Getafe,Turkey,Forward,185,73,1997-05-10 00:00:00.000000,right,Turkey,Spain,2021-06-11 14:12:58.835670,24,Spain Leagues
Abdülkadir Ömür ,Trabzonspor,Turkey,Forward,168,62,1999-06-25 00:00:00.000000,left,Turkey,Turkey,2021-06-11 14:12:58.835670,22,Turkey Leagues
Kerem Aktürkoğlu ,Galatasaray,Turkey,Forward,173,67,1998-10-21 00:00:00.000000,right,Turkey,Turkey,2021-06-11 14:12:58.835670,23,Turkey Leagues
Halil İbrahim Dervişoğlu ,Brentford,Turkey,Forward,183,76,1999-12-08 00:00:00.000000,right,Netherlands,Turkey,2021-06-11 14:12:58.835670,22,Turkey Leagues
Kenan Karaman ,Fortuna Düsseldorf,Turkey,Forward,189,83,1994-03-05 00:00:00.000000,right,Turkey,Germany,2021-06-11 14:12:58.835670,27,Germany Leagues
Wayne Hennessey ,Crystal Palace,Wales,Goalkeeper,198,90,1987-01-24 00:00:00.000000,right,Wales,England,2021-06-11 14:12:58.835670,34,England Leagues
Danny Ward ,Leicester City,Wales,Goalkeeper,191,88,1993-06-22 00:00:00.000000,right,Wales,England,2021-06-11 14:12:58.835670,28,England Leagues
Adam Davies ,Stoke City,Wales,Goalkeeper,185,80,1992-07-17 00:00:00.000000,right,Germany,England,2021-06-11 14:12:58.835670,29,England Leagues
Tom Lockyer ,Luton Town,Wales,Defender,180,72,1994-12-03 00:00:00.000000,right,Wales,England,2021-06-11 14:12:58.835670,27,England Leagues
Ben Davies ,Tottenham,Wales,Defender,182,76,1993-04-24 00:00:00.000000,left,Wales,England,2021-06-11 14:12:58.835670,28,England Leagues
Joe Rodon ,Tottenham,Wales,Defender,190,76,1997-10-22 00:00:00.000000,right,Wales,England,2021-06-11 14:12:58.835670,24,England Leagues
Chris Mepham ,Bournemouth,Wales,Defender,191,75,1997-11-05 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Chris Gunter ,Charlton Athletic,Wales,Defender,180,71,1989-07-21 00:00:00.000000,right,Wales,England,2021-06-11 14:12:58.835670,32,England Leagues
Rhys Norrington-Davies ,Sheffield United,Wales,Defender,181,75,1999-04-22 00:00:00.000000,left,Wales,England,2021-06-11 14:12:58.835670,22,England Leagues
Neco Williams ,Liverpool,Wales,Defender,175,67,2001-04-13 00:00:00.000000,right,Wales,England,2021-06-11 14:12:58.835670,20,England Leagues
Connor Roberts ,Swansea City,Wales,Defender,173,76,1995-09-23 00:00:00.000000,right,Wales,Wales,2021-06-11 14:12:58.835670,26,Wales Leagues
Ben Cabango ,Swansea City,Wales,Defender,188,81,2000-05-30 00:00:00.000000,right,Wales,Wales,2021-06-11 14:12:58.835670,21,Wales Leagues
Joe Allen ,Stoke City,Wales,Midfielder,168,62,1990-03-14 00:00:00.000000,right,Wales,England,2021-06-11 14:12:58.835670,31,England Leagues
Joe Morrell ,Luton Town,Wales,Midfielder,185,77,1997-01-03 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Ethan Ampadu ,Chelsea,Wales,Midfielder,182,78,2000-09-14 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,21,England Leagues
David Brooks ,Bournemouth,Wales,Midfielder,173,67,1997-07-08 00:00:00.000000,left,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Matthew Smith ,Manchester City,Wales,Midfielder,175,68,1999-11-22 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,22,England Leagues
Jonny Williams ,Cardiff City,Wales,Midfielder,168,60,1993-10-09 00:00:00.000000,left,England,Wales,2021-06-11 14:12:58.835670,28,Wales Leagues
Aaron Ramsey ,Juventus,Wales,Midfielder,178,76,1990-12-26 00:00:00.000000,right,Wales,Italy,2021-06-11 14:12:58.835670,30,Italy Leagues
Dylan Levitt ,Manchester United,Wales,Midfielder,180,76,1997-11-10 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Rubin Colwill ,Cardiff City,Wales,Midfielder,0,0,2002-04-27 00:00:00.000000,,Wales,Wales,2021-06-11 14:12:58.835670,19,Wales Leagues
Kieffer Moore ,Cardiff City,Wales,Forward,195,83,1992-08-08 00:00:00.000000,right,England,Wales,2021-06-11 14:12:58.835670,29,Wales Leagues
Harry Wilson ,Liverpool,Wales,Forward,173,70,1997-03-22 00:00:00.000000,left,Wales,England,2021-06-11 14:12:58.835670,24,England Leagues
Gareth Bale ,Real Madrid,Wales,Forward,185,82,1989-07-16 00:00:00.000000,left,Wales,England,2021-06-11 14:12:58.835670,32,England Leagues
Tyler Roberts ,Leeds United,Wales,Forward,180,75,1999-01-12 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,22,England Leagues
Dan James ,Manchester United,Wales,Forward,180,76,1997-11-10 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Yann Sommer ,Mönchengladbach,Switzerland,Goalkeeper,183,79,1988-12-17 00:00:00.000000,right,Switzerland,Germany,2021-06-11 14:12:58.835670,33,Germany Leagues
Yvon Mvogo ,PSV,Switzerland,Goalkeeper,190,90,1994-06-06 00:00:00.000000,right,Cameroon,Netherlands,2021-06-11 14:12:58.835670,27,Netherlands Leagues
